simplified,vietnamese,pinyin,english,hsk_level
被,,bèi,"quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅游 to ""go on a trip"", for example)",5
被动,,bèi dòng,passive,5
被迫,,bèi pò,to be compelled; to be forced,5
被子,,bèi zi,quilt,5
辈,,bèi,lifetime; generation; group of people; class; classifier for generations; (literary) classifier for people,5
本,,běn,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc",5
本科,,běn kē,undergraduate course; undergraduate (attributive),5
本来,,běn lái,original; originally; at first; it goes without saying; of course,5
本领,,běn lǐng,skill; ability; capability,5
本人,,běn rén,I; me; myself; oneself; yourself; himself; herself; the person concerned,5
本事,,běn shì,source material; original story,5
本子,,běn zi,"book; notebook; Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi""; edition",5
笨,,bèn,stupid; foolish; silly; slow-witted; clumsy,5
鼻子,,bí zi,nose,5
比,,Bǐ,Belgium; Belgian; abbr. for 比利时,5
比方,,bǐ fang,analogy; instance; for instance,5
比分,,bǐ fēn,score,5
比较,,bǐ jiào,to compare; to contrast; comparatively; relatively; quite; comparison,5
比例,,bǐ lì,proportion; scale,5
比如,,bǐ rú,for example; for instance; such as,5
比如说,,bǐ rú shuō,for example,5
比赛,,bǐ sài,competition (sports etc); match; to compete,5
比重,,bǐ zhòng,proportion; specific gravity,5
彼此,,bǐ cǐ,each other; one another,5
笔,,bǐ,"pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals",5
笔记,,bǐ jì,to take down (in writing); notes; a type of literature consisting mainly of short sketches,5
笔记本,,bǐ jì běn,notebook (stationery); notebook (computing),5
必,,bì,certainly; must; will; necessarily,5
必然,,bì rán,inevitable; certain; necessity,5
必须,,bì xū,to have to; must; compulsory; necessarily,5
必需,,bì xū,to need; to require; essential; indispensable,5
必要,,bì yào,necessary; essential; indispensable; required,5
毕竟,,bì jìng,after all; all in all; when all is said and done; in the final analysis,5
毕业,,bì yè,graduation; to graduate; to finish school,5
毕业生,,bì yè shēng,graduate,5
闭幕,,bì mù,the curtain falls; lower the curtain; to come to an end (of a meeting),5
闭幕式,,bì mù shì,closing ceremony,5
避,,bì,to avoid; to shun; to flee; to escape; to keep away from; to leave; to hide from,5
避免,,bì miǎn,to avert; to prevent; to avoid; to refrain from,5
边,,biān,side; edge; margin; border; boundary; simultaneously,5
边境,,biān jìng,frontier; border,5
编,,biān,to weave; to plait; to organize; to group; to arrange; to edit; to compile; to write; to compose; to fabricate; to make up,5
编辑,,biān jí,to edit; to compile; editor; compiler,5
变,,biàn,to change; to become different; to transform; to vary; rebellion,5
变成,,biàn chéng,to change into; to turn into; to become,5
变动,,biàn dòng,to change; to fluctuate; change; fluctuation,5
变化,,biàn huà,(intransitive) to change; to vary; change; variation,5
变为,,biàn wéi,to change into,5
便利,,biàn lì,convenient; easy; to facilitate,5
便条,,biàn tiáo,(informal) note,5
便宜,,biàn yí,convenient,5
便于,,biàn yú,easy to; convenient for,5
遍,,biàn,variant of 遍,5
辩论,,biàn lùn,debate; argument; to argue over,5
标题,,biāo tí,title; heading; headline; caption; subject,5
标志,,biāo zhì,sign; mark; symbol; logo; to symbolize; to indicate; to mark,5
标准,,biāo zhǔn,standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard,5
表,,biǎo,exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth),5
表达,,biǎo dá,to express; to convey,5
表格,,biǎo gé,form; table,5
表面,,biǎo miàn,surface; face; outside; appearance,5
表明,,biǎo míng,to make clear; to make known; to state clearly; to indicate; known,5
表情,,biǎo qíng,(facial) expression; to express one's feelings,5
表现,,biǎo xiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior,5
表演,,biǎo yǎn,play; show; performance; exhibition; to perform; to act; to demonstrate,5
表扬,,biǎo yáng,to praise; to commend,5
别,,Bié,surname Bie,5
别的,,bié de,else; other,5
别人,,bié ren,other people; others; other person,5
宾馆,,bīn guǎn,guesthouse; lodge; hotel,5
冰,,bīng,ice; to chill sth; (of an object or substance) to feel cold; (of a person) cold; unfriendly; (slang) methamphetamine,5
冰箱,,bīng xiāng,icebox; freezer cabinet; refrigerator,5
冰雪,,bīng xuě,ice and snow,5
兵,,bīng,soldiers; a force; an army; weapons; arms; military; warlike,5
饼,,bǐng,round flat cake; cookie; cake; pastry,5
饼干,,bǐng gān,biscuit; cracker; cookie,5
并,,bìng,and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge,5
并且,,bìng qiě,and; besides; moreover; furthermore; in addition,5
病,,bìng,illness; disease; to fall ill; defect,5
病毒,,bìng dú,virus,5
病人,,bìng rén,sick person; patient; invalid,5
玻璃,,bō li,glass; (slang) male homosexual,5
播出,,bō chū,to broadcast; to air (a TV program etc),5
播放,,bō fàng,to broadcast; to transmit (by radio or TV),5
博客,,bó kè,blog (loanword); weblog; blogger,5
博览会,,bó lǎn huì,exposition; international fair,5
博士,,bó shì,doctor; court academician (in feudal China); Ph.D.,5
博物馆,,bó wù guǎn,museum,5
补,,bǔ,to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement,5
补偿,,bǔ cháng,to compensate; to make up,5
补充,,bǔ chōng,to replenish; to supplement; to complement; additional; supplementary,5
补贴,,bǔ tiē,to subsidize; subsidy; allowance; to supplement (one's salary etc); benefit,5
不,,bù,no; not so; (bound form) not; un-,5
不安,,bù ān,unpeaceful; unstable; uneasy; disturbed; restless; worried,5
不必,,bù bì,need not; does not have to; not necessarily,5
不曾,,bù céng,hasn't yet; hasn't ever,5
不错,,bù cuò,correct; right; not bad; pretty good,5
不大,,bù dà,not very; not too; not often,5
不但,,bù dàn,not only (... but also ...),5
不得不,,bù dé bù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,5
不得了,,bù dé liǎo,desperately serious; disastrous; extremely; exceedingly,5
不断,,bù duàn,unceasing; uninterrupted; continuous; constant,5
不对,,bù duì,incorrect; wrong; amiss; abnormal; queer,5
不敢当,,bù gǎn dāng,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me,5
不够,,bù gòu,not enough; insufficient; inadequate,5
不顾,,bù gù,in spite of; regardless of,5
不管,,bù guǎn,not to be concerned; regardless of; no matter,5
不光,,bù guāng,not the only one; not only,5
不过,,bù guò,only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival),5
不好意思,,bù hǎo yì si,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb),5
不仅,,bù jǐn,"not just; not limited to; (as a correlative conjunction) not only (..., but also ...)",5
不久,,bù jiǔ,not long (after); before too long; soon; soon after,5
不客气,,bù kè qi,you're welcome; don't mention it; impolite; rude; blunt,5
不利,,bù lì,unfavorable; disadvantageous; harmful; detrimental,5
不良,,bù liáng,bad; harmful; unhealthy,5
不论,,bù lùn,"whatever; no matter what (who, how etc); regardless of; not to discuss",5
不满,,bù mǎn,resentful; discontented; dissatisfied,5
不免,,bù miǎn,inevitably,5
不耐烦,,bù nài fán,impatient; to lose patience,5
不能不,,bù néng bù,have to; cannot but,5
不然,,bù rán,not so; no; or else; otherwise; if not; How about ...?,5
不如,,bù rú,not equal to; not as good as; inferior to; it would be better to,5
不少,,bù shǎo,many; a lot; not few,5
不时,,bù shí,from time to time; now and then; occasionally; frequently,5
不太,,bù tài,Not too,5
不停,,bù tíng,incessant,5
不同,,bù tóng,different; distinct; not the same; not alike,5
不行,,bù xíng,won't do; be out of the question; be no good; not work; not be capable,5
不幸,,bù xìng,misfortune; adversity; unfortunate; sad; unfortunately,5
不许,,bù xǔ,not to allow; must not; can't,5
不要,,bù yào,don't!; must not,5
不要紧,,bù yào jǐn,"unimportant; not serious; it doesn't matter; never mind; it looks all right, but",5
不一定,,bù yī dìng,not necessarily; maybe,5
不一会儿,,bù yīhuǐr5,Take a short while,5
不易,,bù yì,not easy to do sth; difficult; unchanging,5
不用,,bù yòng,need not,5
不在乎,,bù zài hu,not to care,5
不止,,bù zhǐ,incessantly; without end; more than; not limited to,5
不足,,bù zú,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,5
布,,bù,variant of 布; to announce; to spread,5
布置,,bù zhì,to put in order; to arrange; to decorate; to fix up; to deploy,5
步,,Bù,surname Bu,5
步行,,bù xíng,to go on foot; to walk,5
部,,bù,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc",5
部分,,bù fen,part; share; section; piece,5
部门,,bù mén,department; branch; section; division,5
部位,,bù wèi,"part (esp. of the body, but also of a vegetable (e.g. the root), or a garment (e.g. the sleeve) etc)",5
部长,,bù zhǎng,head of a (government etc) department; section chief; section head; secretary; minister,5
擦,,cā,"to rub; to scratch; to towel; to wipe with a towel; to apply (lipstick, lotion etc); to touch; to brush (past); to shred (vegetables etc)",5
猜,,cāi,to guess,5
猜测,,cāi cè,to guess; to conjecture; to surmise,5
才,,cái,ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only,5
才能,,cái néng,talent; ability; capacity,5
材料,,cái liào,(raw) material; data; (fig.) person who has the potential to do the job,5
财产,,cái chǎn,property; assets; estate,5
财富,,cái fù,wealth; riches,5
裁判,,cái pàn,judgment; to referee; umpire; judge; referee,5
采访,,cǎi fǎng,to interview; to gather news; to hunt for and collect; to cover,5
采购,,cǎi gòu,to procure (for an enterprise etc); to purchase,5
采取,,cǎi qǔ,"to adopt or carry out (measures, policies, course of action); to take",5
采用,,cǎi yòng,to adopt; to employ; to use,5
彩票,,cǎi piào,lottery ticket,5
彩色,,cǎi sè,color; multicolored,5
菜,,cài,dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor,5
菜单,,cài dān,menu,5
参观,,cān guān,to look around; to tour; to visit,5
参加,,cān jiā,to participate; to take part; to join,5
参考,,cān kǎo,consultation; reference; to consult; to refer,5
参与,,cān yù,to participate (in sth),5
餐馆,,cān guǎn,restaurant,5
餐厅,,cān tīng,dining hall; dining room; restaurant,5
餐饮,,cān yǐn,food and beverage; catering; repast,5
操场,,cāo chǎng,playground; sports field; drill ground,5
操作,,cāo zuò,to work; to operate; to manipulate,5
草,,cǎo,variant of 草,5
草地,,cǎo dì,lawn; meadow; sod; turf,5
草原,,cǎo yuán,grassland; prairie,5
册,,cè,book; booklet; classifier for books,5
测,,cè,to survey; to measure; to conjecture,5
测量,,cè liáng,survey; to measure; to gauge; to determine,5
测试,,cè shì,to test (machinery etc); to test (a person's skill in a particular area); a test; (computing) beta (version of software),5
层,,céng,to pile on top of one another; layer; stratum; floor (of a building); story; (math.) sheaf; classifier for layers,5
层次,,céng cì,layer; level; gradation; arrangement of ideas; (a person's) standing,5
曾,,Zēng,surname Zeng,5
曾经,,céng jīng,once; already; former; previously; ever; (past tense marker used before verb or clause),5
叉,,chā,"fork; pitchfork; prong; pick; cross; intersect; ""X""",5
叉子,,chā zi,fork,5
插,,chā,to insert; stick in; pierce; to take part in; to interfere; to interpose,5
查,,Zhā,surname Zha,5
查询,,chá xún,to check; to inquire; to consult (a document etc); inquiry; query,5
茶,,chá,tea; tea plant,5
茶叶,,chá yè,tea; tea leaves,5
差,,chā,difference; discrepancy; (math.) difference (amount remaining after a subtraction); (literary) a little; somewhat; slightly,5
差别,,chā bié,difference; distinction; disparity,5
差不多,,chà bu duō,almost; nearly; more or less; about the same; good enough; not bad,5
差点儿,,chà diǎn r,erhua variant of 差点,5
差距,,chā jù,disparity; gap,5
差一点儿,,chà yī diǎn r,erhua variant of 差一点,5
拆,,chāi,to tear open; to tear down; to tear apart; to open,5
拆除,,chāi chú,to tear down; to demolish; to dismantle; to remove,5
产品,,chǎn pǐn,goods; merchandise; product,5
产生,,chǎn shēng,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate,5
产业,,chǎn yè,industry; estate; property; industrial,5
肠,,cháng,intestines,5
尝,,cháng,to taste; to try (food); to experience; (literary) ever; once,5
尝试,,cháng shì,to try; to attempt,5
常,,Cháng,surname Chang,5
常常,,cháng cháng,frequently; often,5
常见,,cháng jiàn,commonly seen; common; to see sth frequently,5
常识,,cháng shí,common sense; general knowledge,5
常用,,cháng yòng,in common usage,5
厂,,hǎn,"""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc",5
厂长,,chǎng zhǎng,factory director,5
场,,cháng,"threshing floor; classifier for events and happenings: spell, episode, bout",5
场合,,chǎng hé,situation; occasion; context; setting; location; venue,5
场面,,chǎng miàn,scene; spectacle; occasion; situation,5
场所,,chǎng suǒ,location; place,5
倡导,,chàng dǎo,to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought),5
唱,,chàng,to sing; to call loudly; to chant,5
唱歌,,chàng gē,to sing a song,5
唱片,,chàng piàn,gramophone record; LP; music CD; musical album,5
抄,,chāo,to make a copy; to plagiarize; to search and seize; to raid; to grab; to go off with; to take a shortcut; to make a turning move; to fold one's arms,5
抄写,,chāo xiě,to copy; to transcribe,5
超过,,chāo guò,to surpass; to exceed; to outstrip,5
超级,,chāo jí,super-; ultra-; hyper-,5
超市,,chāo shì,supermarket (abbr. for 超级市场),5
超越,,chāo yuè,to surpass; to exceed; to transcend,5
朝,,Cháo,abbr. for 朝鲜 Korea,5
潮,,cháo,tide; damp; moist; humid; fashionable; trendy; (coll.) inferior; substandard,5
潮流,,cháo liú,tide; current; trend,5
潮湿,,cháo shī,damp; moist,5
吵,,chǎo,to quarrel; to make a noise; noisy; to disturb by making a noise,5
吵架,,chǎo jià,to quarrel; to have a row; quarrel,5
车,,Chē,surname Che,5
车辆,,chē liàng,vehicle,5
车票,,chē piào,ticket (for a bus or train),5
车上,,chē shàng,Car,5
车站,,chē zhàn,rail station; bus stop,5
车主,,chē zhǔ,vehicle owner,5
彻底,,chè dǐ,thorough; thoroughly; complete,5
沉,,chén,to submerge; to immerse; to sink; to keep down; to lower; to drop; deep; profound; heavy,5
沉默,,chén mò,taciturn; uncommunicative; silent,5
沉重,,chén zhòng,heavy; hard; serious; critical,5
衬衫,,chèn shān,shirt; blouse,5
衬衣,,chèn yī,shirt,5
称,,chèn,to fit; balanced; suitable,5
称号,,chēng hào,name; term of address; title,5
称为,,chēng wéi,"to be called; to be known as; to call it ""...""",5
称赞,,chēng zàn,to praise; to acclaim; to commend; to compliment,5
成,,Chéng,surname Cheng,5
成本,,chéng běn,"(manufacturing, production etc) costs",5
成功,,Chéng gōng,"Chenggong or Chengkung town in Taitung County 台东县, southeast Taiwan",5
成果,,chéng guǒ,result; achievement; gain; profit,5
成绩,,chéng jì,achievement; performance records; grades,5
成交,,chéng jiāo,to complete a contract; to reach a deal,5
成就,,chéng jiù,accomplishment; success; achievement; to achieve (a result); to create; to bring about,5
成立,,chéng lì,to establish; to set up; to be tenable; to hold water,5
成人,,chéng rén,adult,5
成熟,,chéng shú,mature; ripe; to mature; to ripen; Taiwan pr. [chéng shóu],5
成为,,chéng wéi,to become; to turn into,5
成效,,chéng xiào,effect; result,5
成语,,chéng yǔ,"Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage",5
成员,,chéng yuán,member,5
成长,,chéng zhǎng,to mature; to grow; growth,5
承办,,chéng bàn,to undertake; to accept a contract,5
承担,,chéng dān,to undertake; to assume (responsibility etc),5
承认,,chéng rèn,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge",5
承受,,chéng shòu,to bear; to support; to inherit,5
诚实,,chéng shí,honest,5
诚信,,chéng xìn,genuine; honest; in good faith; honesty; integrity,5
城,,chéng,city walls; city; town,5
城里,,chénglǐ,In the city,5
城市,,chéng shì,city; town,5
乘,,Chéng,surname Cheng,5
乘车,,chéng chē,to ride (in a car or carriage); to drive; to motor,5
乘客,,chéng kè,passenger,5
乘坐,,chéng zuò,to ride (in a vehicle),5
程度,,chéng dù,degree; level; extent,5
程序,,chéng xù,procedures; sequence; order; computer program,5
吃,,chī,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)",5
吃饭,,chī fàn,to have a meal; to eat; to make a living,5
吃惊,,chī jīng,to be startled; to be shocked; to be amazed,5
吃力,,chī lì,to entail strenuous effort; to toil at a task; strenuous; laborious; strain,5
池子,,chí zi,pond; bathhouse pool; dance floor of a ballroom; (old) stalls (front rows in a theater),5
迟,,Chí,surname Chi,5
迟到,,chí dào,to arrive late,5
持续,,chí xù,to continue; to persist; to last; sustainable; preservation,5
尺,,chě,"one of the characters used to represent a musical note in gongche notation, 工尺谱",5
尺寸,,chǐ cun,size; dimensions; measurements (esp. of clothes); (coll.) propriety,5
尺子,,chǐ zi,ruler (measuring instrument),5
充电,,chōng diàn,to recharge (a battery); (fig.) to recharge one's batteries (through leisure); to update one's skills and knowledge,5
充电器,,chōng diàn qì,battery charger,5
充分,,chōng fèn,ample; sufficient; adequate; full; fully; to the full,5
充满,,chōng mǎn,full of; brimming with; very full; permeated,5
充足,,chōng zú,adequate; sufficient; abundant,5
冲,,chōng,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with,5
冲动,,chōng dòng,to have an urge; to be impetuous; impulse; urge,5
冲突,,chōng tū,conflict; to conflict; clash of opposing forces; collision (of interests); contention,5
虫子,,chóng zi,insect; bug; worm,5
抽,,chōu,to draw out; to pull out from in between; to remove part of the whole; (of certain plants) to sprout or bud; to whip or thrash,5
抽奖,,chōu jiǎng,to draw a prize; a lottery; a raffle,5
抽烟,,chōu yān,"to smoke (a cigarette, tobacco)",5
愁,,chóu,to worry about,5
丑,,Chǒu,surname Chou,5
臭,,chòu,stench; smelly; to smell (bad); repulsive; loathsome; terrible; bad; severely; ruthlessly; dud (ammunition),5
出,,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc",5
出版,,chū bǎn,to publish,5
出差,,chū chāi,to go on an official or business trip,5
出发,,chū fā,to set off; to start (on a journey),5
出国,,chū guó,to go abroad; to leave the country,5
出汗,,chū hàn,to perspire; to sweat,5
出口,,chū kǒu,an exit; to speak; to export; (of a ship) to leave port,5
出来,,chū lái,to come out; to appear; to arise,5
出门,,chū mén,to go out; to leave home; to go on a journey; away from home; (of a woman) to get married,5
出去,,chū qù,to go out,5
出色,,chū sè,remarkable; outstanding,5
出生,,chū shēng,to be born,5
出售,,chū shòu,to sell; to offer for sale; to put on the market,5
出席,,chū xí,to attend; to participate; present,5
出现,,chū xiàn,to appear; to arise; to emerge; to show up,5
出于,,chū yú,due to; to stem from,5
出院,,chū yuàn,to leave hospital; to be discharged from hospital,5
出租,,chū zū,to rent,5
出租车,,chū zū chē,taxi; (Tw) rental car,5
初,,chū,at first; (at the) beginning; first; junior; basic,5
初步,,chū bù,initial; preliminary; tentative,5
初级,,chū jí,junior; primary,5
初期,,chū qī,initial stage; beginning period,5
初一,,chū yī,first day of lunar month; New Year's Day; first year in junior middle school,5
初中,,chū zhōng,junior high school (abbr. for 初级中学),5
除非,,chú fēi,"only if (..., or otherwise, ...); only when; only in the case that; unless",5
除了,,chú le,besides; apart from (... also...); in addition to; except (for),5
除夕,,Chú xī,lunar New Year's Eve,5
厨房,,chú fáng,kitchen,5
处,,chǔ,to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish,5
处罚,,chǔ fá,to penalize; to punish,5
处分,,chǔ fèn,to discipline sb; to punish; disciplinary action; to deal with (a matter),5
处理,,chǔ lǐ,to handle; to deal with; to punish; to treat sth by a special process; to process; to sell at reduced prices,5
处于,,chǔ yú,"to be in (some state, position, or condition)",5
处在,,chǔ zài,to be situated at; to find oneself at,5
穿,,chuān,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread,5
穿上,,chuān shang,to put on (clothes etc),5
传,,chuán,to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity),5
传播,,chuán bō,to disseminate; to propagate; to spread,5
传达,,chuán dá,to pass on; to convey; to relay; to transmit; transmission,5
